HGT,UWind,VWind,latitude,longitude,forecast_time_hr,forecast_time_unix
1071.6315,-1.11635,-9.48083,37.0,-79.0,12,1745762400
1070.3514,-0.8363501,-8.61083,37.0,-78.75,12,1745762400
1068.6555,-0.6763501,-10.98083,37.0,-78.5,12,1745762400
1065.8715,-0.4763501,-10.50083,37.0,-78.25,12,1745762400
1064.3995,-0.1663501,-12.1608305,37.0,-78.0,12,1745762400
1062.7035,0.7036499,-12.36083,37.0,-77.75,12,1745762400
1060.7355,1.3936499,-12.27083,37.0,-77.5,12,1745762400
1089.7275,-2.29635,-3.61083,37.25,-81.5,12,1745762400
1089.0875,-0.4863501,-3.72083,37.25,-81.25,12,1745762400
1086.5115,0.4236499,-4.21083,37.25,-81.0,12,1745762400
1082.9915,1.8036499,-4.49083,37.25,-80.75,12,1745762400
1080.1115,1.01365,-5.24083,37.25,-80.5,12,1745762400
1078.4795,0.8136499,-4.87083,37.25,-80.25,12,1745762400
1077.1035,1.6836499,-5.83083,37.25,-80.0,12,1745762400
1074.5275,1.4436499,-8.120831,37.25,-79.75,12,1745762400
1072.8475,-0.2763501,-5.60083,37.25,-79.5,12,1745762400
1072.5594,0.6036499,-7.27083,37.25,-79.25,12,1745762400
1071.0074,-0.106350094,-7.1108303,37.25,-79.0,12,1745762400
1069.9995,-0.0863501,-6.9008303,37.25,-78.75,12,1745762400
1068.0795,0.7636499,-9.93083,37.25,-78.5,12,1745762400
1065.5675,0.5036499,-9.44083,37.25,-78.25,12,1745762400
1063.7275,0.6136499,-11.02083,37.25,-78.0,12,1745762400
1061.9995,1.4536499,-10.72083,37.25,-77.75,12,1745762400
1060.2395,2.1036499,-11.23083,37.25,-77.5,12,1745762400
1090.5435,-4.08635,-5.27083,37.5,-81.5,12,1745762400
